RatingID,UserID,MovieID,Rating,Timestamp,Title,Year,Genres,Language,Country,TotalViews
1,SF_2741,3713,4.1,2024-02-01 04:32:50,"Long Walk Home, The",1990,Drama,French,Canada,86324
2,SF_3082,2052,3.1,2024-02-24 04:32:50,Hocus Pocus,1993,Children's| Comedy,Spanish,India,4381
3,SF_53,3267,4.0,2024-11-12 04:32:50,"Mariachi, El",1992,Action| Thriller,Italian,Italy,11502
4,SF_182,2517,2.4,2024-09-28 04:32:50,Christine,1983,Horror,English,Italy,56059
5,SF_631,2996,3.1,2024-10-04 04:32:50,Music of the Heart,1999,Drama,Spanish,Uk,11651
6,SF_2261,1184,3.9,2024-05-28 04:32:50,Mediterraneo,1991,Comedy| War,German,Usa,89764
7,SF_1291,2425,2.8,2023-12-24 04:32:50,"General, The",1998,Crime,German,Uk,24747
8,SF_5002,3326,4.5,2024-03-05 04:32:50,What Planet Are You From?,2000,Comedy| Sci-Fi,Italian,Uk,97330
9,SF_693,1375,1.9,2024-12-05 04:32:50,Star Trek III: The Search for Spock,1984,Action| Adventure| Sci-Fi,Italian,Italy,31440
11,SF_1503,127,4.6,2024-01-22 04:32:50,"Silence of the Palace, The (Saimt el Qusur)",1994,Drama,Italian,Usa,72789
12,SF_1907,1138,1.2,2024-02-04 04:32:50,Dadetown,1995,Documentary,German,Italy,97867
13,SF_3649,734,4.6,2024-11-26 04:32:50,Getting Away With Murder,1996,Comedy,Spanish,France,89730
14,SF_4824,309,2.4,2024-02-24 04:32:50,"Red Firecracker, Green Firecracker",1994,Drama,German,France,72056
15,SF_2147,2493,2.7,2024-09-21 04:32:50,"Harmonists, The",1997,Drama,French,France,65671
16,SF_2215,2912,2.0,2024-04-23 04:32:50,"Limey, The",1999,Action| Crime| Drama,German,India,67268
18,SF_601,2720,2.7,2024-07-11 04:32:50,Inspector Gadget,1999,Action| Adventure| Children's| Comedy,Italian,India,97145
19,SF_841,2955,4.1,2024-08-25 04:32:50,Penitentiary II,1982,Drama,German,India,92195
22,SF_1839,1509,2.0,2024-06-28 04:32:50,All Over Me,1997,Drama,Spanish,Usa,46857
25,SF_363,22,2.4,2024-08-07 04:32:50,Copycat,1995,Crime| Drama,Italian,France,37070
27,SF_2919,1493,2.8,2024-06-10 04:32:50,Love and Other Catastrophes,1996,Romance,English,India,56582
29,SF_6003,1516,1.4,2024-02-06 04:32:50,Children of the Revolution,1996,Comedy,Italian,France,89718
30,SF_1217,2344,1.8,2024-04-23 04:32:50,Runaway Train,1985,Action| Adventure| Drama,Italian,Italy,99852
31,SF_3810,1811,1.9,2024-10-22 04:32:50,"Niagara, Niagara",1997,Drama,French,Usa,82471
33,SF_3607,3444,4.1,2024-03-20 04:32:50,Bloodsport,1988,Action,German,Usa,62537
34,SF_2407,3915,1.4,2023-12-20 04:32:50,Girlfight,2000,Drama,English,France,3683
35,SF_4940,3056,1.6,2024-01-29 04:32:50,Oxygen,1999,Thriller,Italian,France,97100
36,SF_4687,621,3.5,2024-02-09 04:32:50,My Favorite Season,1993,Drama,Italian,France,79401
37,SF_5658,1830,3.9,2023-12-18 04:32:50,Follow the Bitch,1998,Comedy,English,Usa,6331
39,SF_3111,2700,5.0,2024-11-30 04:32:50,"South Park: Bigger, Longer and Uncut",1999,Animation| Comedy,English,Usa,25163
40,SF_4739,1279,4.8,2024-11-19 04:32:50,Night on Earth,1991,Comedy| Drama,Spanish,Usa,42853
41,SF_3584,549,4.5,2024-02-18 04:32:50,Thirty-Two Short Films About Glenn Gould,1993,Documentary,Italian,France,95859
42,SF_2134,2970,1.8,2024-04-13 04:32:50,Fitzcarraldo,1982,Adventure| Drama,English,Usa,81857
43,SF_2947,705,3.0,2024-01-16 04:32:50,Cosi,1996,Comedy,English,France,79152
45,SF_908,3810,2.1,2024-01-21 04:32:50,White Sands,1992,Drama,English,Canada,91360
